epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.2154,1.31863,26.7151,1.72464,0.00395,0.27273,0.09277,0.01356,0.98947,22.4488,1.41462,5.625e-05,1.875e-05,5.625e-05,1.875e-05,5.625e-05,1.875e-05,5.625e-05,1.875e-05
2,43.2618,1.22156,26.6323,1.62246,0.00147,0.18182,0.00575,0.00198,0.95859,22.6169,1.34759,0.000130379,4.34598e-05,0.000130379,4.34598e-05,0.000130379,4.34598e-05,0.000130379,4.34598e-05
3,62.7069,1.35657,28.0051,1.75037,0.00553,0.18182,0.01298,0.0087,1.03316,22.605,1.43677,0.000203514,6.78379e-05,0.000203514,6.78379e-05,0.000203514,6.78379e-05,0.000203514,6.78379e-05
4,84.2524,1.26068,27.3975,1.6364,0.00662,0.36364,0.01443,0.01224,1.03691,22.5873,1.49556,0.000275653,9.18844e-05,0.000275653,9.18844e-05,0.000275653,9.18844e-05,0.000275653,9.18844e-05
5,106.946,1.67553,31.8431,2.04421,0.00524,0.27273,0.01274,0.01247,1.06669,22.6993,1.47416,0.000346798,0.000115599,0.000346798,0.000115599,0.000346798,0.000115599,0.000346798,0.000115599
6,131.449,1.53588,32.3347,1.79822,0.00493,0.36364,0.01531,0.01381,1.07815,22.6114,1.51927,0.000416947,0.000138982,0.000416947,0.000138982,0.000416947,0.000138982,0.000416947,0.000138982
7,153.132,1.58388,32.4848,1.86416,0.01539,0.54545,0.03749,0.03195,1.02882,22.6467,1.46679,0.000486101,0.000162034,0.000486101,0.000162034,0.000486101,0.000162034,0.000486101,0.000162034
8,175.251,1.25787,27.0596,1.61617,0.01303,0.54545,0.04338,0.03795,1.01648,22.634,1.41277,0.000554261,0.000184754,0.000554261,0.000184754,0.000554261,0.000184754,0.000554261,0.000184754
9,201.682,1.18472,27.2868,1.59146,0.01251,0.54545,0.07193,0.06589,1.04013,22.6671,1.40372,0.000621425,0.000207142,0.000621425,0.000207142,0.000621425,0.000207142,0.000621425,0.000207142
10,224.528,1.1767,26.3795,1.53403,0.01173,0.54545,0.1239,0.11756,1.0476,22.6777,1.41514,0.000687594,0.000229198,0.000687594,0.000229198,0.000687594,0.000229198,0.000687594,0.000229198
11,249.496,1.18292,25.8431,1.47997,0.01036,0.54545,0.1784,0.16835,1.04873,22.7099,1.34641,0.000752769,0.000250923,0.000752769,0.000250923,0.000752769,0.000250923,0.000752769,0.000250923
12,275.318,1.13022,26.0849,1.48915,0.00907,0.54545,0.31231,0.29733,1.10658,22.7597,1.30412,0.000816948,0.000272316,0.000816948,0.000272316,0.000816948,0.000272316,0.000816948,0.000272316
13,294.94,1.19564,26.2292,1.39855,0.0097,0.54545,0.30302,0.28945,1.09777,22.8099,1.39676,0.000880132,0.000293378,0.000880132,0.000293378,0.000880132,0.000293378,0.000880132,0.000293378
