epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.64963,0.97315,3.77559,1.17197,0.00605,0.31111,0.01897,0.00711,0.56679,3.9762,1.04485,2.307e-05,7.69e-06,2.307e-05,7.69e-06,2.307e-05,7.69e-06,2.307e-05,7.69e-06
2,9.33238,0.88957,3.81186,1.12415,0.0062,0.28889,0.02117,0.00849,0.55993,3.96522,1.03149,6.85248e-05,2.28416e-05,6.85248e-05,2.28416e-05,6.85248e-05,2.28416e-05,6.85248e-05,2.28416e-05
3,13.0679,0.93723,3.72168,1.3264,0.00381,0.26667,0.01419,0.00709,0.56241,3.93932,1.02783,0.000113066,3.76887e-05,0.000113066,3.76887e-05,0.000113066,3.76887e-05,0.000113066,3.76887e-05
4,16.8733,0.93521,3.68753,1.20948,0.00898,0.28889,0.02069,0.01146,0.54682,3.93428,1.02504,0.000156694,5.22312e-05,0.000156694,5.22312e-05,0.000156694,5.22312e-05,0.000156694,5.22312e-05
5,20.4878,0.89893,3.72473,1.19662,0.01456,0.33333,0.02854,0.01544,0.52945,3.91935,1.01266,0.000199408,6.64693e-05,0.000199408,6.64693e-05,0.000199408,6.64693e-05,0.000199408,6.64693e-05
6,24.4379,0.98006,3.89759,1.10835,0.02262,0.35556,0.05415,0.03651,0.52316,3.90606,1.00836,0.000241208,8.04028e-05,0.000241208,8.04028e-05,0.000241208,8.04028e-05,0.000241208,8.04028e-05
7,28.324,1.01683,3.9153,1.14141,0.01812,0.33333,0.0322,0.02455,0.50674,3.89137,1.00438,0.000282095,9.40318e-05,0.000282095,9.40318e-05,0.000282095,9.40318e-05,0.000282095,9.40318e-05
8,32.259,0.92519,3.89875,1.08315,0.012,0.31111,0.02881,0.01908,0.48953,3.86732,0.99619,0.000322069,0.000107356,0.000322069,0.000107356,0.000322069,0.000107356,0.000322069,0.000107356
9,35.9894,0.70277,3.66449,1.05697,0.01605,0.33333,0.03379,0.02564,0.47633,3.86139,0.99299,0.000361129,0.000120376,0.000361129,0.000120376,0.000361129,0.000120376,0.000361129,0.000120376
10,39.4752,0.76867,3.71449,1.06812,0.01556,0.33333,0.03881,0.02872,0.4676,3.84338,0.98407,0.000399275,0.000133092,0.000399275,0.000133092,0.000399275,0.000133092,0.000399275,0.000133092
11,43.1864,0.76401,3.83017,1.04375,0.01273,0.33333,0.04142,0.03085,0.45252,3.84007,0.975,0.000436507,0.000145502,0.000436507,0.000145502,0.000436507,0.000145502,0.000436507,0.000145502
12,46.9579,0.70667,3.71213,1.0643,0.01274,0.33333,0.07048,0.0548,0.42148,3.8425,0.95838,0.000472827,0.000157609,0.000472827,0.000157609,0.000472827,0.000157609,0.000472827,0.000157609
13,50.6802,0.68443,3.71342,1.05965,0.01915,0.48889,0.06602,0.05633,0.40499,3.82322,0.94683,0.000508232,0.000169411,0.000508232,0.000169411,0.000508232,0.000169411,0.000508232,0.000169411
14,54.4381,0.58479,3.71286,1.01804,0.01965,0.48889,0.0644,0.05544,0.40046,3.81375,0.94726,0.000542724,0.000180908,0.000542724,0.000180908,0.000542724,0.000180908,0.000542724,0.000180908
15,58.2272,0.69721,3.76165,1.03376,0.018,0.46667,0.06455,0.05492,0.39812,3.81663,0.95143,0.000576302,0.000192101,0.000576302,0.000192101,0.000576302,0.000192101,0.000576302,0.000192101
16,61.8691,0.79963,3.54832,1.1834,0.0162,0.46667,0.06354,0.05388,0.39434,3.79468,0.94594,0.000608967,0.000202989,0.000608967,0.000202989,0.000608967,0.000202989,0.000608967,0.000202989
17,65.5849,0.53773,3.65427,0.98735,0.01794,0.48889,0.06224,0.05344,0.39182,3.78374,0.94424,0.000640718,0.000213573,0.000640718,0.000213573,0.000640718,0.000213573,0.000640718,0.000213573
18,69.3187,0.52456,3.63046,0.99585,0.01967,0.51111,0.07719,0.06482,0.38073,3.7845,0.92877,0.000671556,0.000223852,0.000671556,0.000223852,0.000671556,0.000223852,0.000671556,0.000223852
19,73.1354,0.58808,3.63488,1.08853,0.01786,0.51111,0.08003,0.06802,0.38482,3.77369,0.92267,0.00070148,0.000233827,0.00070148,0.000233827,0.00070148,0.000233827,0.00070148,0.000233827
20,76.85,0.53906,3.60656,1.05127,0.017,0.51111,0.08818,0.07774,0.3802,3.77204,0.9064,0.000730491,0.000243497,0.000730491,0.000243497,0.000730491,0.000243497,0.000730491,0.000243497
21,80.3983,0.5645,3.68009,0.99502,0.0161,0.51111,0.09207,0.08207,0.37141,3.77282,0.88914,0.000758588,0.000252863,0.000758588,0.000252863,0.000758588,0.000252863,0.000758588,0.000252863
22,84.1579,0.4691,3.54384,1.00645,0.01563,0.51111,0.09568,0.08743,0.36449,3.78026,0.87502,0.000785771,0.000261924,0.000785771,0.000261924,0.000785771,0.000261924,0.000785771,0.000261924
23,87.9447,0.627,3.65116,1.05952,0.01379,0.48889,0.09853,0.09063,0.34223,3.77443,0.8613,0.000812041,0.00027068,0.000812041,0.00027068,0.000812041,0.00027068,0.000812041,0.00027068
24,91.7218,0.46523,3.60655,0.98287,0.0191,0.57778,0.1207,0.10738,0.33869,3.77537,0.85624,0.000837397,0.000279132,0.000837397,0.000279132,0.000837397,0.000279132,0.000837397,0.000279132
25,95.4034,0.5099,3.54419,1.00288,0.01995,0.6,0.11668,0.10866,0.34495,3.7537,0.8475,0.00086184,0.00028728,0.00086184,0.00028728,0.00086184,0.00028728,0.00086184,0.00028728
26,98.9171,0.48401,3.62906,0.91488,0.02068,0.62222,0.14383,0.1302,0.32981,3.74136,0.83795,0.000885369,0.000295123,0.000885369,0.000295123,0.000885369,0.000295123,0.000885369,0.000295123
27,102.652,0.42161,3.5513,0.99328,0.01962,0.62222,0.15115,0.14498,0.31052,3.71304,0.83133,0.000907984,0.000302661,0.000907984,0.000302661,0.000907984,0.000302661,0.000907984,0.000302661
28,106.266,0.42852,3.53397,0.9364,0.01962,0.62222,0.15115,0.14498,0.31052,3.71304,0.83133,0.000929686,0.000309895,0.000929686,0.000309895,0.000929686,0.000309895,0.000929686,0.000309895
29,110.006,0.45486,3.48708,0.94872,0.02043,0.64444,0.17331,0.16267,0.29193,3.68397,0.82195,0.000950475,0.000316825,0.000950475,0.000316825,0.000950475,0.000316825,0.000950475,0.000316825
30,113.721,0.45705,3.55888,0.92078,0.02026,0.58889,0.15566,0.13993,0.29477,3.65927,0.81879,0.00097035,0.00032345,0.00097035,0.00032345,0.00097035,0.00032345,0.00097035,0.00032345
31,117.311,0.48276,3.45047,1.01046,0.02026,0.58889,0.15566,0.13993,0.29477,3.65927,0.81879,0.000989311,0.00032977,0.000989311,0.00032977,0.000989311,0.00032977,0.000989311,0.00032977
32,120.872,0.40023,3.48286,0.92679,0.02018,0.64444,0.18018,0.16242,0.28672,3.6516,0.81688,0.00100736,0.000335786,0.00100736,0.000335786,0.00100736,0.000335786,0.00100736,0.000335786
33,124.587,0.41946,3.46316,0.98956,0.02085,0.64444,0.17509,0.15853,0.27837,3.64649,0.8047,0.00102449,0.000341498,0.00102449,0.000341498,0.00102449,0.000341498,0.00102449,0.000341498
34,128.13,0.42093,3.43014,0.95913,0.02085,0.64444,0.17509,0.15853,0.27837,3.64649,0.8047,0.00104071,0.000346904,0.00104071,0.000346904,0.00104071,0.000346904,0.00104071,0.000346904
35,131.766,0.46124,3.50423,1.01523,0.01965,0.66667,0.24141,0.20679,0.27123,3.614,0.79838,0.00105602,0.000352007,0.00105602,0.000352007,0.00105602,0.000352007,0.00105602,0.000352007
36,135.546,0.33214,3.40791,0.93922,0.01943,0.66667,0.25855,0.23148,0.26983,3.59609,0.80032,0.00107041,0.000356804,0.00107041,0.000356804,0.00107041,0.000356804,0.00107041,0.000356804
37,139.026,0.40251,3.39132,0.91816,0.01943,0.66667,0.25855,0.23148,0.26983,3.59609,0.80032,0.00108389,0.000361298,0.00108389,0.000361298,0.00108389,0.000361298,0.00108389,0.000361298
38,142.607,0.40628,3.34894,0.96558,0.01831,0.66667,0.26505,0.23043,0.27163,3.57444,0.80241,0.00109646,0.000365486,0.00109646,0.000365486,0.00109646,0.000365486,0.00109646,0.000365486
39,146.323,0.32352,3.34605,0.85338,0.01783,0.66667,0.27661,0.25643,0.26881,3.54754,0.79923,0.00110811,0.000369371,0.00110811,0.000369371,0.00110811,0.000369371,0.00110811,0.000369371
40,150,0.39795,3.34353,0.89465,0.01783,0.66667,0.27661,0.25643,0.26881,3.54754,0.79923,0.00111885,0.00037295,0.00111885,0.00037295,0.00111885,0.00037295,0.00111885,0.00037295
41,153.668,0.33165,3.2705,0.97843,0.01771,0.66667,0.27865,0.25632,0.26203,3.51729,0.79547,0.00112868,0.000376226,0.00112868,0.000376226,0.00112868,0.000376226,0.00112868,0.000376226
42,157.45,0.39394,3.35966,0.9357,0.01724,0.66667,0.25346,0.23736,0.25544,3.49058,0.79438,0.00113759,0.000379196,0.00113759,0.000379196,0.00113759,0.000379196,0.00113759,0.000379196
43,161.031,0.32316,3.21353,0.94087,0.01724,0.66667,0.25346,0.23736,0.25544,3.49058,0.79438,0.00114559,0.000381862,0.00114559,0.000381862,0.00114559,0.000381862,0.00114559,0.000381862
44,164.624,0.34861,3.20659,0.91934,0.01647,0.66667,0.26694,0.2448,0.25598,3.45197,0.79049,0.00115267,0.000384224,0.00115267,0.000384224,0.00115267,0.000384224,0.00115267,0.000384224
45,168.24,0.33556,3.2017,0.88291,0.01647,0.66667,0.26694,0.2448,0.25598,3.45197,0.79049,0.00115884,0.000386281,0.00115884,0.000386281,0.00115884,0.000386281,0.00115884,0.000386281
46,171.94,0.30759,3.11685,0.91523,0.01653,0.74074,0.26016,0.24927,0.25509,3.39822,0.78461,0.0011641,0.000388034,0.0011641,0.000388034,0.0011641,0.000388034,0.0011641,0.000388034
47,175.511,0.32298,3.17804,0.88989,0.01653,0.74074,0.26016,0.24927,0.25509,3.39822,0.78461,0.00116844,0.000389482,0.00116844,0.000389482,0.00116844,0.000389482,0.00116844,0.000389482
48,178.914,0.32221,3.18794,0.90284,0.01662,0.81481,0.30611,0.2915,0.25457,3.34027,0.7761,0.00117188,0.000390625,0.00117188,0.000390625,0.00117188,0.000390625,0.00117188,0.000390625
49,182.336,0.38287,3.1833,0.9324,0.01662,0.81481,0.30611,0.2915,0.25457,3.34027,0.7761,0.00117439,0.000391464,0.00117439,0.000391464,0.00117439,0.000391464,0.00117439,0.000391464
50,186.159,0.35997,3.13234,0.93776,0.01714,0.88889,0.32929,0.31645,0.25572,3.27791,0.7737,0.001176,0.000391999,0.001176,0.000391999,0.001176,0.000391999,0.001176,0.000391999
51,189.774,0.37429,3.13728,0.9261,0.01714,0.88889,0.32929,0.31645,0.25572,3.27791,0.7737,0.00116504,0.000388345,0.00116504,0.000388345,0.00116504,0.000388345,0.00116504,0.000388345
52,193.414,0.38293,3.13287,0.99445,0.017,0.88889,0.3876,0.37412,0.26119,3.2127,0.76915,0.0011422,0.000380732,0.0011422,0.000380732,0.0011422,0.000380732,0.0011422,0.000380732
