epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.4403,1.08313,3.74658,1.30329,0.00534,0.34815,0.05514,0.04963,0.72531,3.70517,1.1815,0,0,0,0,0,0,0,0
2,19.0364,1.04921,3.73238,1.28654,0.00492,0.32593,0.05532,0.05035,0.72737,3.69497,1.18857,2.28416e-05,7.61387e-06,2.28416e-05,7.61387e-06,2.28416e-05,7.61387e-06,2.28416e-05,7.61387e-06
3,27.6062,1.10592,3.70469,1.32453,0.00761,0.4,0.05768,0.05206,0.70965,3.69066,1.18893,4.52264e-05,1.50755e-05,4.52264e-05,1.50755e-05,4.52264e-05,1.50755e-05,4.52264e-05,1.50755e-05
4,36.2064,1.05364,3.70471,1.24986,0.00758,0.4,0.05883,0.05454,0.69209,3.68755,1.18216,6.71545e-05,2.23848e-05,6.71545e-05,2.23848e-05,6.71545e-05,2.23848e-05,6.71545e-05,2.23848e-05
5,44.9867,1.0068,3.69385,1.27642,0.00786,0.43704,0.05926,0.05425,0.67703,3.68574,1.18543,8.86257e-05,2.95419e-05,8.86257e-05,2.95419e-05,8.86257e-05,2.95419e-05,8.86257e-05,2.95419e-05
6,53.6534,1.04934,3.69545,1.29286,0.00853,0.47407,0.06469,0.05844,0.66553,3.67865,1.19198,0.00010964,3.65467e-05,0.00010964,3.65467e-05,0.00010964,3.65467e-05,0.00010964,3.65467e-05
7,62.0372,0.93211,3.64165,1.25286,0.00933,0.47407,0.07916,0.07214,0.65869,3.66709,1.19028,0.000130198,4.33993e-05,0.000130198,4.33993e-05,0.000130198,4.33993e-05,0.000130198,4.33993e-05
8,70.7366,0.96439,3.65542,1.29151,0.00985,0.47407,0.07785,0.07334,0.64531,3.65549,1.18833,0.000150299,5.00996e-05,0.000150299,5.00996e-05,0.000150299,5.00996e-05,0.000150299,5.00996e-05
9,79.221,1.00994,3.71142,1.25839,0.01102,0.4963,0.08171,0.07591,0.62649,3.64958,1.17833,0.000169943,5.66476e-05,0.000169943,5.66476e-05,0.000169943,5.66476e-05,0.000169943,5.66476e-05
10,87.667,0.95894,3.65589,1.2869,0.01043,0.47407,0.07389,0.06937,0.61213,3.64915,1.18238,0.00018913,6.30434e-05,0.00018913,6.30434e-05,0.00018913,6.30434e-05,0.00018913,6.30434e-05
11,96.198,0.97833,3.64694,1.26231,0.01105,0.47407,0.0709,0.06658,0.60079,3.64063,1.17817,0.000207861,6.92869e-05,0.000207861,6.92869e-05,0.000207861,6.92869e-05,0.000207861,6.92869e-05
12,104.685,0.96615,3.6664,1.22356,0.01142,0.45926,0.07299,0.06812,0.58856,3.63989,1.16833,0.000226134,7.53781e-05,0.000226134,7.53781e-05,0.000226134,7.53781e-05,0.000226134,7.53781e-05
13,113.551,0.93574,3.70665,1.2632,0.01123,0.43704,0.07495,0.06825,0.57496,3.64471,1.15895,0.000243951,8.13171e-05,0.000243951,8.13171e-05,0.000243951,8.13171e-05,0.000243951,8.13171e-05
14,122.04,0.94921,3.67451,1.25794,0.01142,0.43704,0.06521,0.0621,0.56174,3.65671,1.14448,0.000261312,8.71039e-05,0.000261312,8.71039e-05,0.000261312,8.71039e-05,0.000261312,8.71039e-05
15,130.77,0.97827,3.68993,1.26365,0.01156,0.43704,0.0637,0.06025,0.55014,3.65834,1.15459,0.000278215,9.27383e-05,0.000278215,9.27383e-05,0.000278215,9.27383e-05,0.000278215,9.27383e-05
16,139.335,0.90893,3.65709,1.25311,0.01113,0.41481,0.06538,0.0634,0.54869,3.65468,1.16423,0.000294662,9.82205e-05,0.000294662,9.82205e-05,0.000294662,9.82205e-05,0.000294662,9.82205e-05
17,147.753,0.83441,3.61109,1.21359,0.01148,0.41481,0.07595,0.07221,0.53344,3.65309,1.14218,0.000310651,0.00010355,0.000310651,0.00010355,0.000310651,0.00010355,0.000310651,0.00010355
